;;;;;;;
FECHA;Carapungo;CENTRO;COTOCOLLAO;SANGOLQUI;TUMBACO;;
14/1/2025;0;0,329;0,312;0,042;0,197;;
14/1/2025;0;0,243;0,265;0,044;0,16;;
14/1/2025;0;0,187;0,18;0,012;0,053;;
14/1/2025;0;0,193;0,124;-0,008;0,025;;
15/1/2025;0;0,075;0,053;-0,021;0,059;;
15/1/2025;0;0,05;0;-0,039;0;;
15/1/2025;0;0,068;0,041;-0,033;0,046;;
15/1/2025;0;0,054;0,079;-0,005;0,07;;
15/1/2025;0;0,051;0,115;0,009;0,085;;
15/1/2025;0;0,148;0,267;0,044;0,134;;
15/1/2025;0;0,719;1,385;0,26;0,525;;
15/1/2025;0;1,392;1,337;0,54;1,286;;
15/1/2025;0;0,997;0,712;0,421;0,552;;
15/1/2025;0;0,549;0,471;0,19;0,283;;
15/1/2025;0;0,58;0,248;0,072;0,256;;
15/1/2025;0;0,426;0,082;0,114;0,181;;
15/1/2025;0;0,283;0,09;0,022;0,209;;
15/1/2025;0;0,327;0,063;0,054;0,215;;
15/1/2025;0;0,283;0,041;0,021;0,181;;
15/1/2025;0;0,309;0,055;-0,005;0,177;;
15/1/2025;0;0,34;0,076;-0,009;0,264;;
15/1/2025;0,865;0,354;0,112;0,036;0,271;;
15/1/2025;0,725;0,559;0,174;0,133;0,457;;
15/1/2025;0,471;0,317;0,194;0,222;0,355;;
15/1/2025;0,576;0,295;0,192;0,114;0,317;;
15/1/2025;0,462;0,288;0,127;0,06;0,18;;
15/1/2025;0,307;0,222;0,093;0,013;0,108;;
15/1/2025;0,219;0,156;0,081;0;0,048;;
16/1/2025;0,204;0,136;0,049;-0,038;0,054;;
16/1/2025;0,14;0,096;0,007;0;0,071;;
16/1/2025;0,091;0,13;0,041;-0,063;0,058;;
16/1/2025;0,09;0,107;0,002;-0,066;0,044;;
16/1/2025;0,065;0,127;-0,013;-0,061;0,067;;
16/1/2025;0,113;0,177;0,047;-0,037;0,155;;
16/1/2025;0,387;0,512;0,265;0,027;0,266;;
16/1/2025;0,862;0,893;0,76;0,135;0,436;;
16/1/2025;0,847;0,7;0,644;0,111;0,616;;
16/1/2025;0,579;0,489;0,426;0,126;0,324;;
16/1/2025;0,637;0,478;0,147;0,093;0,332;;
16/1/2025;0,314;0,43;0,095;0,099;0,337;;
16/1/2025;0,273;0,287;0,067;0,06;0,28;;
16/1/2025;0,343;0,267;0,047;0,028;0,18;;
16/1/2025;0,425;0,271;0,043;0,05;0,208;;
16/1/2025;0,783;0,326;0;0,11;0,253;;
16/1/2025;0,682;0,47;0,325;0,28;0,25;;
16/1/2025;0,738;0,397;0,321;0,412;1,008;;
